20.68,6.54,303
20.16,7.35,306
20.47,7.18,300
20.74,7.35,298
20,6.86,307
20.7,6.99,299
20.62,6.76,309
20.59,6.99,308
20.24,6.84,293
20.83,7.31,310
20.13,7,307
20.07,6.77,289
20.1,6.72,293
20.65,7.36,300
20.72,7.46,314
20.47,6.51,306
20.22,7.43,296
20.05,7.04,288
20.39,6.94,299
20.45,6.83,309
20.15,6.85,293
20.65,7.25,310
20.01,7.03,304
20.55,7.3,311
20.4,6.85,311
20.38,6.59,303
20.33,7.22,301
20.83,7.23,298
20.6,6.68,309
20.66,7.22,302
20.2,7.28,289
20.88,7.36,302
20.54,6.87,312
20.78,6.78,298
20.26,6.9,314
19.98,7.27,311
20.67,7.44,292
20,6.99,298
20.83,7.29,313
20.26,7.29,300
20.19,7.31,306
20.19,6.7,304
20.2,7.28,301
20.73,6.74,290
20.12,6.55,313
20.49,7.05,295
20,6.85,288
20.17,7.41,303
20.79,7.06,302
20.88,6.96,293
20.59,7.29,287
20.15,6.5,288
20.82,7.45,309
20.1,6.6,315
20.59,7.04,298
20.75,6.72,294
20.45,7.38,289
20.18,6.65,289
20.09,7.13,315
20.61,6.55,310
20.6,6.56,300
20.11,6.83,307
20.66,7,310
20.52,6.83,311
20.51,7.24,287
20.76,6.58,301
20.39,7.1,290
20.17,7.03,315
20.59,6.57,312
20.87,7.31,304
20.07,7.25,293
20.71,6.74,291
20.41,6.53,297
20.28,7.34,294
20.06,7.4,315
20.62,7.2,302
20.11,6.77,298
20.87,6.89,309
20.66,6.93,302
20.64,7.45,297
20.66,7.04,301
20.36,6.76,308
20.66,7.42,312
20.66,6.69,290
20.8,7.09,302
20.28,6.6,314
20.18,7.01,308
19.98,7.46,297
20.63,6.56,314
20.41,6.99,288
20.78,7.13,308
20.32,7.17,295
20.33,6.9,301
20.51,6.87,289
20.57,7.09,289
20.86,6.91,289
20.39,7.23,311
20.53,6.88,297
20.48,6.95,303
20.35,7.2,310
20.35,7.05,307
20.77,6.91,295
20.6,7.3,307
20.28,7.43,294
20.67,7.34,289
20.25,7.29,302
20.28,6.74,313
20.08,7.15,308
20.04,7.21,293
20.04,6.52,289
20.57,7.01,304
20.85,6.75,308
20.16,7.05,309
20.05,7.31,302
20.38,6.59,294
20.53,6.59,294
20.67,6.92,296
20.06,6.71,292
20,6.86,295
20.34,6.78,293
20.87,6.98,308
20.44,6.77,288
20.71,6.91,295
20.5,7.09,315
20.09,7.49,299
20.53,7.32,311
20.12,7.29,308
20.31,6.65,310
20.77,7.14,295
20.83,7.38,299
20.27,7.25,290
20.46,7.03,309
20.17,7.3,311
20.02,7.2,307
20.66,6.59,308
20.88,6.97,298
20.42,6.92,312
20.8,7.47,290
20.53,6.78,309
20.22,7.19,296
20.11,7.25,303
20.15,6.57,304
20.05,6.7,308
20.82,7.07,297
20.34,7.33,300
20.11,7.14,295
20.6,7.07,288
20.43,6.73,297
20.58,7.44,290
20.41,6.5,314
20.04,7.26,303
20.25,6.89,294
20.31,6.95,297
20.42,7.12,313
20.45,7.23,291
20.53,6.74,291
20.46,6.93,289
20.4,6.81,303
20.65,6.92,315
20.53,7.31,287
19.99,6.76,289
20.09,6.54,289
20.51,7.47,315
19.99,6.75,300
20.46,7.2,288
20.04,7.43,313
20.54,6.81,305
20.03,6.97,308
20.41,7.23,297
20.83,6.74,292
20.13,6.63,292
20.02,6.87,302
20.46,6.75,293
20.3,7.22,312
20.46,7.37,292
20.79,6.89,307
20.59,7.36,310
20.77,6.69,309
20.7,6.94,290
20.72,6.62,293
20.6,6.86,306
20.75,7.37,287
20.73,7.4,305
20.83,6.74,291
20.14,7.39,310
20.07,6.59,296
20.35,6.61,310
20.35,6.97,305
20.03,6.85,308
20.39,7.27,311
20.82,6.76,314
